id,name,name_en,keywords,image_filename,guidance,chakra,description,sku,usage_tags,dilution_guide,pillar,doctor_advice,capacity,price_member,price_retail,price
13,呼吸複方,Respiratory Blend,天高雲淡・引領清氣・胸懷開朗,respiratory-blend.jpg,深吸一口清新的晨風，將胸壑中的沉悶全然吐出。天地如此遼闊，你的呼吸本該暢達無拘。,,對應喉輪。月桂葉、尤加利與薄荷穿透重重窒礙，如推開面海的軒窗，清涼海風灌入心胸，豁然開朗。,30390302,薰香、塗抹,敏感,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛涼，入肺經。宣通肺氣，暢通呼吸通道。主宣肺利咽。,15ml,920,1230,1230
14,柑橘類複方,Invigorating Blend,朝陽初醒・盎然生趣・拂落陰翳,invigorating-blend.jpg,告別昨日的落葉，春陽已在枝頭灑下金光。讓純粹的歡欣湧入心房，輕盈踏上未完的旅程。,,對應太陽神經叢。野橘、檸檬與葡萄柚果香四溢，如清晨柑橘園滿溢陽光，驅散沉滯，點亮熱愛生活的明媚心念。,60220828,薰香、塗抹,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味甘溫，入脾肺經。醒脾理氣，激勵清陽之氣。主開鬱振奮。,15ml,680,910,910
15,羅馬洋甘菊,Roman Chamomile,月下溫柔・撫平褶痕・童心安歇,roman-chamomile.jpg,容許自己慢下來，如撫平茶席上的一道褶痕。以溫柔相待，內在的波瀾自然重歸平靜。,太陽神經叢、心輪,安撫焦慮、穩定情緒與療癒內在小孩的柔性能量植物，香氣清新溫潤，猶如母親的懷抱，讓疲憊的靈魂有一處安全歸屬。,30800302,薰香、塗抹、內服,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味微苦甘涼，入肝經。如母親懷抱般溫柔安撫，平息心浮氣躁。主平息諸經之火。,5ml,1980,2640,2640
16,天竺葵,Geranium,花語柔情・撫平委屈・情感相映,geranium.jpg,誠實凝視內心深處最柔軟的情感，無須隱忍遮掩。在如實接納的淚光中，心門正悄然透入溫暖的光。,心輪、太陽神經叢,對應心輪。玫瑰般優雅草木花香，化解壓抑的委屈與憤懣，在心靈庭園築起溫潤包容的庇護之地。,30090302,薰香、塗抹、內服,敏感,中柱 (Balance),位格：中柱。自然醫學建議：性味苦辛微寒，入肝脾經。疏肝和胃，安撫波動情志。主調和中庸。,15ml,1280,1710,1710
17,芳香按摩複方,Massage Blend,通暢經絡・氣血溫循・步履輕盈,massage-blend.jpg,身心一如，身體的滯澀正是心緒呼喚關照之處。順應流動的節奏輕輕揉撫，緊繃自會隨風消散。,,對應海底輪與心輪。絲柏、薄荷與馬鬱蘭精妙調和，如潺潺溪流漫過石灘，撫平每一處僵硬與疲憊。,31200302,塗抹,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味辛涼，入肝脾經。舒筋活絡，調暢氣血循行。主調和經脈。,15ml,1120,1490,1490
18,側柏,Arborvitae,天地庇蔭・滌盪濁塵・安守本心,arborvitae.jpg,心無雜念，方能照見萬物生生不息之理。告別過往殘念，以喜悅之目迎候每個當下。,海底輪、心輪,象徵大地的守護與靈魂的庇蔭，它是北美原住民儀式中被稱為「生命之樹」的常用淨化植物，能協助驅散負能量、穩定情緒，與大地守護能量連結。,49360302,薰香、塗抹,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味苦澀寒，入肝經。深山巨木之古樸氣息，庇蔭元真，淨化場域。主化濁留清。,5ml,980,1310,1310
19,迷迭香,Rosemary,青蔥拂面・靈台清明・記憶凝真,rosemary.jpg,變動是生命盛開的徵兆，毋需畏懼轉折。立足於清晰的定見之中，你將看見靈魂更為遼闊的視野。,眉心輪、太陽神經叢,對應眉心輪與頂輪。草本清香刺破迷霧，喚醒沉睡的專注與洞察力，使思路如鏡般通透無塵。,30200302,薰香、塗抹、內服,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味辛溫，入肝肺經。通竅醒腦，溫通經絡。主收斂心神。,15ml,650,870,870
20,茶樹,Tea Tree,清泉澄滌・堅韌邊界・守護純粹,tea-tree.jpg,斬斷無益的雜念牽絆，心靈的結界方得清淨安寧。在乾淨自持的界線裡，真我得以自在舒展。,太陽神經叢、喉輪,對應喉輪與海底輪。純淨穿透的草木氣息，如山巔晨霧洗滌塵埃，建立不可動搖的心靈防線，守護真淳。,30150302,薰香、塗抹、內服,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味辛涼，入肺經。清熱解毒，固護身心屏障。主收斂固表。,15ml,860,1150,1150
21,尤加利,Eucalyptus,穿雲破霧・碧葉清爽・暢意舒展,eucalyptus.jpg,適時放空所有的思量，留白處方能盛放新生。如同林梢穿透的日光，生命正在輕快地拓展新篇。,喉輪,對應喉輪。高聳尤加利樹葉清冽直達心肺，驅散窒悶，帶來彷彿置身澳洲藍山清晨的自由與開闊。,30060302,薰香、塗抹,敏感,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛涼，入肺經。宣散風熱，暢通肺部氣機。主清利升發。,15ml,650,870,870
22,萊姆,Lime,碧露生機・撥雲見日・喜樂煥發,lime.jpg,內在的微光從未熄滅。溫柔眷顧自己，心光便如明鏡般照破長夜，步履自成清境。,喉輪、眉心輪,適用於思緒混亂、情緒低落或行動力不足時，能清理腦霧，激發創造力，提升直覺與溝通清晰度，是心靈與空間「重整與刷新」的好幫手，驅散陰鬱氛圍。,30870302,薰香、塗抹、內服,敏感,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味酸涼，入肝經。喚醒生機，梳理鬱滯氣機。主清熱升發。,15ml,550,735,735
23,清潔淨化複方,Cleansing Blend,淨化氛圍・除舊布新・空氣清朗,cleansing-blend.jpg,平息急躁的意念，讓空氣中的塵囂全然落定。內心澄澈如水之際，任何決斷皆能精準而篤定。,,對應喉輪。檸檬、青檸與冷杉協奏，如暴雨後的清新山林，掃蕩周遭沉悶異味，還空間一室明淨。,31060302,薰香、塗抹,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛涼，入肺經。澄滌濁氣，淨化空間場域。主清利升發。,15ml,880,1170,1170
24,柑橘開放複方,Springtime Blend,春暖花開・萌動生機・歡欣滿溢,springtime-blend.jpg,細細品味晨起的一杯淡茶，尋常日子亦含無上甘味。感知身旁細微的美好，心靈的枯井便能湧出甘泉。,,對應太陽神經叢。柑橘果香與草木嫩芽香氣交融，如早春大地解凍，處處洋溢著躍動的生機與溫暖希望。,60209002,薰香、塗抹,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味甘平，入心脾經。春風拂面，舒解鬱結。主和調中氣。,15ml,850,1135,1135
25,沒藥,Myrrh,古樹凝脂・厚重沉香・撫慰沉痛,myrrh.jpg,靜心聆聽身體的真實訊息，尊重內在流淌的每一次悲喜。在深沉的寂靜裡，生命正在溫厚地重組力量。,海底輪、心輪,對應海底輪。古老樹脂芬芳幽玄悠遠，如沉睡於大地的記憶，給予歷經風霜的靈魂最深沉安詳的擁抱。,30160302,薰香、塗抹、內服,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味苦辛平，入心肝脾經。活血化瘀，消腫生肌。主收斂固澀，安定散亂之氣。,15ml,2350,3135,3135
26,冷杉,White Fir,雪嶺長青・挺拔高遠・洗滌心胸,white-fir.jpg,寬恕是贈予自己的解脫，放下執著方見天地廣闊。所有的跋涉皆是洗禮，終將化為生命深處的堅韌年輪。,心輪,對應頂輪與心輪。針葉木冷冽高貴之香，如攀登白雪覆蓋的群山，胸懷頓時坦蕩高遠，煥發挺拔生機。,(待補),薰香、塗抹,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味甘辛溫，入肺腎經。溫補肺氣，提振精神志向。主升發清氣。,15ml,850,1135,1135
27,夏威夷檀香木,"Sandalwood, Hawaiian",深林靜謐・靈犀相契・天人合一,sandalwood-hawaiian.jpg,學會在流轉不息的世事中退後一步，以觀照之眼凝視幻化。臣服於時序的安排，心便安住在永恆的港灣。,心輪、喉輪、眉心輪、頂輪,對應頂輪與心輪。火山島雨林孕育的醇甜木香，如深邃悠遠的梵鐘，引領意識遁入無染清淨之境。,41860302,薰香、塗抹、內服,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味辛溫，入肺脾心經。清潤肌理，寧心安神。主中和神志。,5ml,3150,4200,4200
28,胡荽葉,Cilantro,草木青氣・滌清執念・靈思泉湧,cilantro.jpg,微風拂過池水，漣漪散後月影自明。在不同的視角碰撞中，智慧的火光自然相融而生。,太陽神經叢、喉輪,氣味清爽而獨特，帶有青綠草本的清理特質，一款極佳的身心澄澈與能量淨化精油，特別適合用於釋放情緒與思想層面的雜質與執念。,41850302,薰香、塗抹、內服,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛涼，入脾腎經。滌清滯濁，通暢清透。主行氣化濕。,15ml,980,1310,1310
29,永久花,Helichrysum,不凋花華・撫平宿痕・重煥金光,helichrysum.jpg,當內心真正渴望蛻變時，所有的陰霾都會退避為沃土。信任傷口處透出的微光，那正是新生命綻放之處。,太陽神經叢、心輪,對應太陽神經叢與頂輪。金黃不凋花散發蜜香與草本微苦，被譽為靈魂的撫慰師，修復深層身心褶皺。,30410302,薰香、塗抹、內服,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味苦平，入肝脾經。通暢脈絡，化解滯澀。主活血行氣，平衡經絡。,5ml,3100,4130,4130
30,檀香木,Sandalwood,古殿沉煙・虛室生白・萬緣放下,sandalwood.jpg,於喧鬧之中闢一室留白，滋養深藏的靈性微光。不爭不辯，靜心守候，智慧之果自會在適當的時節結成。,眉心輪、頂輪、海底輪,對應頂輪與眉心輪。經典東方木質沉香，如京都古寺枯山水，萬籟俱寂，使人心神沉靜，入甚深三昧。,30210302,薰香、塗抹、內服,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味辛溫，入肺脾心經。調理肌膚，安定雜亂心緒。主平息散亂。,5ml,3150,4200,4200
31,百里香,Thyme,堅定披甲・意氣昂揚・破曉勇氣,thyme.jpg,先讓自己的泉水充盈溢出，方能潤澤身旁的每一方沃土。成就篤定的自己，即是對世界最好的慈悲。,太陽神經叢、海底輪,氣味草本清烈、穿透力強，強力的能量防護者與勇氣喚醒者，能助你釋放長期累積的壓抑與恐懼情緒，重建個人力量與能量邊界。,30220302,薰香、塗抹、內服,稀釋,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛溫，入肺經。充盈衛氣，振奮意志，消弭陰翳。主發散清陽。,15ml,1200,1600,1600
32,桂皮,Cassia,烈火融融・驅散陰寒・破冰啟行,cassia.jpg,泰然接納生命給予的每一種境遇，無論冷暖皆是鑄造心志的薪柴。讓心底的火種燃起，溫暖即將出發的腳步。,海底輪、太陽神經叢,對應海底輪與太陽神經叢。肉桂木皮之熱烈辛香，打破長久凝固的恐懼與麻木，喚醒破繭而出的堅決勇氣。,30020302,薰香、塗抹、內服,稀釋,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛甘大熱，入腎脾心經。溫補命門，散寒止澀。主補火助陽。,15ml,750,1000,1000
33,檸檬草,Lemongrass,草露微甘・破曉啟明・迎向曙光,lemongrass.jpg,黑夜的盡頭必是噴薄的晨光。有時看似終止的句點，正是轉身踏入嶄新大道的契機。,太陽神經叢、喉輪,對應太陽神經叢。爽脆檸檬草香混合大地泥土芳馨，洗刷身心沉重的惰性，為心靈注入清新明朗的驅動力。,30130302,薰香、塗抹、內服,敏感,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛甘溫，入脾胃經。健脾化濕，理氣開胃。主行氣化濕。,15ml,470,630,630
34,絲柏,Cypress,流水不腐・順應變遷・收放自如,cypress.jpg,以自我慈悲為深海燈塔，照亮未知的迷津；以臣服順應為隨風羅盤，在變幻莫測的波濤中安然掌舵。,海底輪、喉輪,對應海底輪與心輪。高聳筆直的絲柏木香，象徵能量的通暢與過渡，引導執著者鬆開雙手，順應流動。,30050302,薰香、塗抹,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味辛平，入肺肝經。舒緩身心滯重，促進氣血流暢。主收斂固澀。,15ml,680,910,910
35,岩蘭草,Vetiver,大地深根・引火歸元・篤定泰然,vetiver.jpg,俯身觸碰泥土的芬芳，在最細微的一呼一吸間安住身心。當根系深扎於磐石，任憑世間風雨，心自巋然不動。,海底輪,對應海底輪。濃郁煙燻泥土根香，被譽為「寧靜之油」，如古樹深根擁抱大地，平息翻騰思緒，歸於至靜。,30430302,薰香、塗抹、內服,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味苦寒，入心肝腎經。清心降火，收攝浮陽。主引火歸元，安定身心。,15ml,1980,2640,2640
36,清甘複方,Liver Blend,木氣疏朗・流暢開展・順應身心,liver-blend.jpg,順應自然的節奏行止。做心靈深處真正召喚之事，而非執著於外在無謂的繁雜喧囂。,,對應臍輪與太陽神經叢。天竺葵、杜松漿果與葡萄柚融和，如春風拂過山林，疏解身心累積的沉滯重擔。,(待補),薰香、塗抹、內服,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛苦溫，入肝經。暢達氣機，疏利木氣，順暢代謝。主行氣活血。,15ml,1150,1535,1535
37,超級代謝複方,Metabolic Blend,循序漸進・從容節奏・慢調細工,metabolic-blend.jpg,莫為追逐奔波而忘卻生活最初的滋味。慢下過急的步伐，以從容的匠心，調和出身心安適的長久律動。,,對應太陽神經叢。肉桂、生薑與薄荷交融，溫暖激勵脾胃運化，調整過快或過慢的生活步調，回歸自適平衡。,60223152,薰香、塗抹、內服,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛苦溫，入脾腎經。溫運脾陽，暢旺身心代謝。主提振生機。,15ml,1050,1400,1400
38,集中注意力複方,Focus Blend,一念凝神・心無旁騖・如鏡照物,focus-blend.jpg,將散落於各處的意念收束於當下一刻。心如明鏡無瑕，萬物自能映照分明，筆直通往所願之境。,,對應眉心輪與頂輪。檀香、乳香與廣藿香深邃凝定，如僧人結跏趺坐於古殿，斬斷紛擾雜訊，入無漏定境。,(待補),薰香、塗抹,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味辛溫，入心腎經。寧心益智，收束散漫神思。主定心安神。,10ml 滾珠,1350,1800,1800
39,當歸,Angelica,溫潤涵養・陰性智慧・柔軟深根,angelica.jpg,隨順呼吸的起伏，允許自己沉靜入定。在最柔軟的深處，始見生命最初始的堅韌生機。,臍輪、心輪,當歸精油深具陰性能量，特別適合調理情緒與女性能量失衡，對應臍輪（第二脈輪）與心輪，療癒創傷與失衡，並帶來自我照顧與靈性支持。,(待補),薰香,稀釋,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味甘辛溫，入心肝脾經。溫潤撫慰，調和氣血。陰性能量滋養名品。,5ml,1850,2470,2470
40,葡萄柚,Grapefruit,朝露盈枝・煥發容光・釋放沉重,grapefruit.jpg,穿過風雨洗禮的果林，每一顆果實皆汲取了陽光的純粹。成為自己的引路微光，欣然迎見蛻變後的自足姿態。,太陽神經叢、喉輪,對應太陽神經叢。明亮甘甜中微帶果皮苦澀，如金燦燦的晨曦，撫平對身軀的挑剔與不滿，找回自信元氣。,30100302,薰香、塗抹、內服,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味酸甘涼，入脾胃肝經。疏肝理氣，清利濕熱。主理氣升發。,15ml,720,960,960
41,輕柔愛護複方,Monthly Blend For Women,月相圓缺・溫柔照拂・柔順如水,monthly-blend-for-women.jpg,如潮汐隨月相起伏，接納自身生理與心靈的周期律動。給予內心最深柔的傾聽，這是生命最甜美的自愛承諾。,,對應臍輪。快樂鼠尾草、薰衣草與佛手柑如月光般溫存相伴，化解女性身心的緊繃沉重，柔和安撫。,(待補),薰香、塗抹,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味甘平，入肝脾心經。溫柔調和，安撫經期身心起伏。主調和中焦。,10ml 滾珠,1150,1535,1535
42,人蔘,Ginseng,百草之王・元氣回生・根深葉茂,ginseng.jpg,深山泉湧滋養根系，不疾不徐地蓄積磅礡生機。每一次寧靜深邃的吐納，皆是意志向著重生邁進的堅定召喚。,太陽神經叢、海底輪,對應海底輪與太陽神經叢。千年山野精萃化為醇厚溫潤之氣，深層滋補虛損勞傷，築就源源不竭的內在底氣。,31630402,薰香、塗抹、內服,敏感,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛甘微苦溫，入脾肺腎經。大補元氣，溫中健脾。主溫陽補虛。,10ml,1350,1800,1800
43,薰衣草,Lavender,月華澄澈・心平氣和・靜夜安枕,lavender.jpg,靜靜與自己的靈魂對坐。她是你在世間最忠實的同伴，唯有深愛這份真實，安寧才得長久。,心輪、頂輪,對應心輪與頂輪，情緒療癒與靈性安撫的經典之選，特別適合在焦慮、失眠、情緒起伏或自我批判過度時使用，幫助回到平衡狀態，釋放壓力與過度思緒。,30110302,薰香、塗抹、內服,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味辛涼，入心肝經。清雅淡香安撫肌理與焦躁，平息浮動思緒。主收斂心火。,15ml,980,1310,1310
44,五味子,Schisandra,五味具足・收斂歸元・圓融本心,schisandra.jpg,擁抱生命沿途的酸甜苦辣，萬般滋味皆是修煉心性的甘露。收回外散的精力與掛礙，歸於最純粹的內在圓滿。,臍輪、喉輪,對應臍輪與喉輪。五味雜陳卻歸於悠長甘潤，調理情緒劇烈波動，如收網聚攏散落的元神，蓄積重生之力。,30120302,薰香、塗抹、內服,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味酸甘苦辛鹹溫，入肺脾腎經。收斂固澀，滋養心神。主斂氣歸元。,5ml,1450,1930,1930
45,羅勒,Basil,青枝破土・澄明心智・振作奮發,basil.jpg,真正的力量始於清澈的自我確立。毋需等待萬事俱備，立足於足下的當下，邁出破曉的第一步。,眉心輪、太陽神經叢,對應太陽神經叢與心輪。溫暖甜辛的草本芬芳，宛若撥開厚重陰霾的疾風，驅散腦海疲頓，喚醒明晰思緒。,30010302,薰香、塗抹、內服,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛溫，入肺胃經。辛香通竅，醒脾化濕，舒緩身心滯重。主升發清陽。,15ml,980,1310,1310
46,雪松,Cedarwood,松柏長青・沉穩堅定・厚重耐性,cedarwood.jpg,樹木因經歷酷寒而質地密實。於耐心中沉潛守候，待歲月淬鍊身心，挺拔的姿態自能立於天地之間。,海底輪、太陽神經叢,對應海底輪。古老雪松堅實深邃的木質芳醇，如置身幽深針葉林，為疲於奔命的心築起沉穩堅不可摧的後盾。,49300302,薰香、塗抹,敏感,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味苦溫，入肺腎經。溫斂肺氣，安定神志，固本培元。主收斂祛濕。,15ml,550,735,735
47,冬青,Wintergreen,霜雪無懼・破寒回暖・冰心舒展,wintergreen.jpg,卸下僵硬防禦的面具，以溫柔誠實之眼觀照內在起伏。當緊握的雙手坦然放開，療癒之風已悄然拂過山崗。,海底輪、心輪,對應海底輪。清涼強烈的藥草甜香，如同冬日破冰的暖陽，穿透深入肌理經絡，帶來深層釋放與安撫。,31620302,薰香、塗抹,敏感,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛大溫，入肝腎經。溫通經絡，散寒舒筋，化解滯澀。主行氣通絡。,15ml,850,1135,1135
48,馬鬱蘭,Marjoram,柔風甘霖・暖胃安神・和悅融融,marjoram.jpg,真摯的安適深藏於心神止泊之處。善待疲倦的身心，當你給予自己全然的溫柔，身旁所見皆是祥和之境。,心輪、太陽神經叢,對應心輪與太陽神經叢。溫暖香甜的草本微辛，如冬日壁爐旁的絨毯，化解孤獨與壓抑，撫慰過度緊繃神經。,30140302,薰香、塗抹、內服,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味辛甘平，入肺脾經。溫中和胃，舒緩身心緊繃。主收斂安神。,15ml,820,1095,1095
49,茉莉,Jasmine,月下幽芬・清心滌慮・靈光乍現,jasmine.jpg,當前路偶現停滯，毋需向外抗衡。先與內心那個疲憊的自我和解，夜露凝香之時，轉折的妙機自然浮現。,臍輪、心輪,對應心輪與頂輪。月夜盛開的幽雅花香，破除悲觀幽暗的自我束縛，點亮內心深處高雅自信與神聖喜悅。,60202986,薰香、塗抹,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味辛甘涼，入肝脾經。理氣解鬱，辟穢和中，滋潤身心。主疏肝調和。,10ml 滾珠,2100,2800,2800
50,薄荷,Peppermint,空谷清飆・破曉醒神・意氣風發,peppermint.jpg,容許清冽的涼意掠過發燙的思緒。每一次打破舊有桎梏的跨越，都在為心靈開闢無比寬廣的碧海青天。,眉心輪、喉輪,對應太陽神經叢與喉輪。沁人心脾的極致清涼，如山泉奔湧擊碎頑石，一掃濁氣與倦怠，激盪出昂揚靈感。,30190302,薰香、塗抹、內服,敏感,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛涼，入肺肝經。疏風散熱，清利頭目，醒脾和中。主辛散升發。,15ml,920,1230,1230
